,rating,title,credit,box,year,actor
229,,Blood Circus,Detective Jake Dawson,,2017,Tom Sizemore
230,,Cross Wars,Detective Frank Nitti,,2017,Tom Sizemore
231,17,USS Indianapolis: Men of Courage,McWhorter,,2016,Tom Sizemore
232,,Beyond Valkyrie: Dawn of the Fourth Reich,Master Sergeant O'Malley,,2016,Tom Sizemore
233,40,Traded,Lavoie,,2016,Tom Sizemore
234,,Wolf Mother,Jon,,2016,Tom Sizemore
235,,The Asian Connection,Screenwriter,,2016,Tom Sizemore
236,,Crossing Point,"Pedro
                                    
                                            Producer",,2016,Tom Sizemore
237,,Weaponized,Kyle Norris,,2016,Tom Sizemore
238,,Exit 14,Roy,,2016,Tom Sizemore
239,,Halloweed,Vincent Modine,,2016,Tom Sizemore
240,,Calico Skies,Phoenix,,2016,Tom Sizemore
241,,Hunting Season,Actor,,2016,Tom Sizemore
242,17,Durant's Never Closes,Jack Durant,,2016,Tom Sizemore
243,40,6 Ways To Die,Mike Jones,,2015,Tom Sizemore
244,,Private Number,Jeff,,2015,Tom Sizemore
245,33,Laugh Killer Laugh,Actor,,2015,Tom Sizemore
246,,Auteur,Actor,,2015,Tom Sizemore
247,,Story Of Eva,Actor,,2015,Tom Sizemore
248,,The Intruders,Howard Markby,,2015,Tom Sizemore
249,,SWAT: Unit 887,Damian White,,2015,Tom Sizemore
250,4,Reach Me,Frank,,2014,Tom Sizemore
251,,Dark Haul,Knicks,,2014,Tom Sizemore
252,,5 Hour Friends,Actor,,2014,Tom Sizemore
253,8,Chlorine,Ernie,,2014,Tom Sizemore
254,,Murder 101,Actor,,2014,Tom Sizemore
255,,Bordering On Bad Behavior,Bob,,2014,Tom Sizemore
256,,Terms & Conditions,Actor,,2014,Tom Sizemore
257,,Seal Team Eight: Behind Enemy Lines,Ricks,,2014,Tom Sizemore
258,,Flashes (Alternate Realities),Detective Mark Hume,,2014,Tom Sizemore
259,,The Drunk,Actor,,2014,Tom Sizemore
260,,Before I Sleep,Randy,,2013,Tom Sizemore
261,,El cartel de los sapos (The Snitch Cartel),DEA Agent Sam Mathews,,2013,Tom Sizemore
262,,Paranmormal Movie,Actor,,2013,Tom Sizemore
263,,Remnants,"Actor
                                                
                                    
                                            Producer",,2013,Tom Sizemore
264,,Meth Head,Actor,,2013,Tom Sizemore
265,,Company of Heroes,Dean,,2013,Tom Sizemore
266,,Night of the Living Dead: Origins 3D,Chief McClelland,,2013,Tom Sizemore
267,,Five Thirteen,Actor,,2013,Tom Sizemore
268,,Visible Scars,Actor,,2012,Tom Sizemore
269,47,Cellmates,Actor,,2012,Tom Sizemore
270,,The Grind,Chuck,,2012,Tom Sizemore
271,,Crosshairs,Actor,,2012,Tom Sizemore
272,,Shadows In Paradise,Col. Bunker,,2012,Tom Sizemore
273,,The Saints of Mt. Christopher,Actor,,2012,Tom Sizemore
274,,Game Of Life,Actor,,2012,Tom Sizemore
275,,El Bosque,Pickett,,2012,Tom Sizemore
276,,Slumber Party Slaughter,Tom Kingsford,,2012,Tom Sizemore
277,,Contractor's Routine,Actor,,2011,Tom Sizemore
278,,Suing the Devil,Tony 'The Hip' Anzaldo,,2011,Tom Sizemore
279,,Big Money Rustlas,Tom,,2011,Tom Sizemore
280,,Cross,Det. Nitti,,2011,Tom Sizemore
281,,The Speak,Actor,,2011,Tom Sizemore
282,,The Colombian Connection,Frank Rossi,,2011,Tom Sizemore
283,,The Speak,Actor,,2011,Tom Sizemore
284,,Cellmates,Leroy Lowe,,2011,Tom Sizemore
285,,The Speak,Doyle,,2011,Tom Sizemore
286,,The Speak,Actor,,2011,Tom Sizemore
287,,Toxic,Van Sant,,2009,Tom Sizemore
288,0,Super Capers,Roger Cheatem,,2009,Tom Sizemore
289,64,In the Electric Mist,Actor,,2009,Tom Sizemore
290,,A Broken Life,Max Walker,,2008,Tom Sizemore
291,50,The Flyboys (Sky Kids),Angelo Esposito,,2008,Tom Sizemore
292,70,Red,Michael McCormack,,2008,Tom Sizemore
293,,The Last Lullaby,Price,,2008,Tom Sizemore
294,,Furnace,Actor,,2008,Tom Sizemore
295,100,American Son,Dale,,2008,Tom Sizemore
296,,Stiletto,Large Bills,,2008,Tom Sizemore
297,,Protecting the King,Ronnie,,2007,Tom Sizemore
298,14,The Genius Club,"Armand
                                    
                                            Executive Producer",,2006,Tom Sizemore
299,43,Splinter,Det. Cunningham,,2006,Tom Sizemore
300,,Shut Up and Shoot!,Actor,,2006,Tom Sizemore
301,,Ring Around the Rosie,Pierce,,2006,Tom Sizemore
302,,White Air,Steve,,2006,Tom Sizemore
303,,Mort à Zyzzyx,Joey,,2006,Tom Sizemore
304,,Bottom Feeder,Vince Stoker,,2006,Tom Sizemore
305,,Furnace,Frank Miller,,2006,Tom Sizemore
306,,The Nickel Children,Freedo,,2005,Tom Sizemore
307,,Hustle,Pete Rose,,2004,Tom Sizemore
308,17,Paparazzi,Rex Harper,15.6,2004,Tom Sizemore
309,,Oranges,Actor,,2004,Tom Sizemore
310,30,Dreamcatcher,Owen,33.8,2003,Tom Sizemore
311,57,Pauly Shore Is Dead,Himself,,2003,Tom Sizemore
312,,Swindle,Seth George,,2003,Tom Sizemore
313,48,Big Trouble,Snake,,2002,Tom Sizemore
314,40,Sins of the Father,Tom Cherry,,2002,Tom Sizemore
